id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit
6AczxDV0grtXZZ7h8xI5cS,Swine,['Lady Gaga'],268600,11/11/13,2013,0.0062,0.712,0.861,3.42e-05,0.634,-3.625,0.136,127.89,0.209,1,0,54,1
2JtL0a3NHcGkFQ7kfDLKUT,Swing Lo Magellan,['Dirty Projectors'],157800,7/10/12,2012,0.825,0.738,0.366,2.69e-05,0.118,-10.231,0.0324,101.031,0.507,0,5,51,0
6hIOunhsLUT66KQgZV5dMD,Swing Lynn,['Harmless'],321464,8/14/12,2012,0.0534,0.462,0.945,0.749,0.11,-1.888,0.0401,165.156,0.471,1,2,67,0
7otV7kSzDMo11qLlw8pAtr,Swingin Party,['Lorde'],222363,1/1/13,2013,0.92,0.337,0.245,2.56e-05,0.119,-13.442,0.0384,107.472,0.107,1,10,57,0
59oP06RoBps6bvbvSQ1Zee,Swish,['mike.'],278520,1/12/16,2016,0.067,0.905,0.575,2.22e-05,0.0602,-8.64,0.0881,115.031,0.365,1,1,68,1
3OtMnyUaiipcAT23A8liyi,Swish Swish,"['Katy Perry', 'Nicki Minaj']",242520,6/9/17,2017,0.0184,0.839,0.705,1.77e-05,0.102,-5.194,0.0445,119.954,0.575,0,5,71,1
29ZZAShKhwRUuKULSNtxX6,Switch,['6LACK'],207071,9/14/18,2018,0.0409,0.66,0.658,0.00595,0.102,-6.127,0.0387,176.701,0.153,1,7,67,1
2ysVuXmtSgghzyYijfj7Od,Switch Lanes,"['Rittz', 'Mike Posner']",204270,4/30/13,2013,0.116,0.717,0.604,9.68e-06,0.132,-6.602,0.109,67.029,0.749,1,6,61,1
18LgnmZIds56d00L53aauA,Switch Lanes,"['Tyga', 'The Game']",221493,1/1/13,2013,0.556,0.761,0.851,0.000545,0.104,-4.371,0.234,92.486,0.463,0,10,50,1
1GMDpf82TUwTVBPYiu0dmR,Switch Lanes,"['Tyga', 'The Game']",221493,1/1/13,2013,0.556,0.761,0.851,0.000545,0.104,-4.371,0.234,92.486,0.463,0,10,64,1
25gBSdeZ7qMplP2XsoXO1r,Switch Up,"['Toni Romiti', 'Bigrod']",260048,7/12/16,2016,0.0766,0.804,0.425,0.0,0.0964,-10.384,0.153,125.931,0.494,0,9,66,1
3nkOMRS1p3f8KDJ7wR6SSr,Swords and Pens,['The Story So Far'],189360,6/21/11,2011,0.000296,0.353,0.991,6.43e-06,0.255,-2.931,0.0822,186.026,0.47,1,1,44,0
7shOuDh6jyORhGzMIU49Uj,Sydney (I'll Come Running),['Brett Dennen'],234120,4/12/11,2011,0.0261,0.565,0.827,0.0,0.0743,-4.982,0.126,165.087,0.926,1,4,55,0
2zVJlAEB0ublkqJMIn43AE,Symbolism,['Electro-Light'],293301,11/27/14,2014,0.171,0.554,0.782,0.806,0.0703,-7.967,0.0469,169.973,0.418,1,4,60,0
